# ::id 287501-0002
# ::tok A company which provide good quality portals , E-commerce solutions , web based MMOG ... etc
# ::alignments 1-1.1.1.1.2 3-1.1.3 4-1.1.4.5.1.1 5-1.1.4.5.1.2 6-1.1.4.5.2 8-1.1.4.6.1 9-1.1.4.6.2 11-1.1.4.7.1.1 12-1.1.4.7.1.2 13-1.1.4.7.2 15-1.1.4.1
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :E (v6 / label
                         :C (v11 / label~e.1)))
           :P (v4 / label~e.3)
           :A (v5 / label
                  :C (v7 / label~e.15)
                  :C (v8 / label
                         :E (v12 / label
                                 :E (v18 / label~e.4)
                                 :C (v19 / label~e.5))
                         :C (v13 / label~e.6))
                  :C (v9 / label
                         :E (v14 / label~e.8)
                         :C (v15 / label~e.9))
                  :C (v10 / label
                          :E (v16 / label
                                  :E (v20 / label~e.11)
                                  :C (v21 / label~e.12))
                          :C (v17 / label~e.13)))))
