# ::id 322225-0003
# ::tok They have a great selection of wine from all over the world with all different prices .
# ::alignments 0-1.1.1 1-1.1.2 3-1.1.3.2.2 4-1.1.3.2.1.2 5-1.1.3.2.3 6-1.1.3.3 7-1.1.3.4.1 8-1.1.3.4.2 9-1.1.3.4.2 11-1.1.3.4.4 12-1.1.3.1.1 13-1.1.3.1.2 14-1.1.3.1.3 15-1.1.3.1.4
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label~e.0)
           :S (v4 / label~e.1)
           :A (v5 / label
                  :E (v6 / label
                         :R (v10 / label~e.12)
                         :Q (v11 / label~e.13)
                         :E (v12 / label~e.14)
                         :C (v13 / label~e.15))
                  :E (v7 / label
                         :S (v14 / label
                                 :C (v20 / label~e.4))
                         :D (v15 / label~e.3)
                         :R (v16 / label~e.5)
                         :A (v8 / label~e.6))
                  :C v8
                  :E (v9 / label
                         :R (v17 / label~e.7)
                         :E (v18 / label~e.8,9)
                         :C (v19 / label~e.11)))))
