# ::id 221664-0002
# ::tok I brought a car in to have the " check engine " light diagnosed back in March of 2010 .
# ::alignments 0-1.1.1 1-1.1.2 3-1.1.3.2 4-1.1.4 5-1.2 9-1.3.3.2.2 10-1.3.3.2.3 12-1.3.3.3 13-1.3.4 14-1.1.5.1 15-1.1.5.1 16-1.1.5.2.1 17-1.1.5.2.2.1 18-1.1.5.2.2.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v5 / label~e.0)
           :P (v6 / label~e.1)
           :A (v7 / label
                  :C (v13 / label~e.3))
           :D (v8 / label~e.4)
           :T (v9 / label
                  :R (v14 / label~e.14,15)
                  :C (v15 / label
                          :C (v18 / label~e.16)
                          :C (v19 / label
                                  :R (v23 / label~e.17)
                                  :C (v24 / label~e.18)))))
    :L (v3 / label~e.5)
    :H (v4 / label
           :A (v10 / label)
           :A (v11 / label
                   :E (v16 / label
                           :A (v20 / label)
                           :P (v21 / label~e.9)
                           :A (v22 / label~e.10))
                   :C (v17 / label~e.12))
           :P (v12 / label~e.13)))
